SKU,QTY,Cost
ANOEM3169,6.0,14.88
ANOEM3179,1.0,29.49
ANOEM4307,3.0,29.88
API512125,1.0,28.97
API512133,1.0,10.96
API512157,2.0,41.314336
API5783,2.0,10.36
API904616,1.0,9.33
API91998,1.0,21.54
APIB725,1.0,7.52
APICF8631,2.0,6.49
APICK620054,1.0,33.18
APIK6599,2.0,3.78
APIK8645,2.0,1.63
APIK8690,2.0,1.68
APWCH8412,1.0,76.496428
APX35352,1.0,0.0
APX35651,2.0,2.77
APX35861,2.0,1.25
APXBS40678,1.0,8.51
APXCS93543,1.0,28.39
APXE10443M,1.0,55.0
APXMS3310,7.0,21.13
APXMS901312,3.0,20.63
APXVS50805R,1.0,37.87
APXVSS145,12.0,0.0
ARD513100,1.0,33.03
ARD515043,1.0,57.855592
ARD515054,1.0,36.81
ARD515058,1.0,49.448867
ARM46411550,1.0,29.9
ASH0285,2.0,1.338455
ASH04797777AC,2.0,1.72
ASH0931914007,1.0,3.0
ASH10-00-008,10.0,1.386576
ASH10-09-985,5.0,1.98
ASH10-ECO006,2.0,1.58
ASH10-ECO013,2.0,1.91
ASH10-ECO021,28.0,1.122308
ASH10-ECO023,3.0,2.2
ASH10-ECO044,3.0,1.26
ASH10-ECO053,9.0,1.75
ASH10-ECO072,3.0,1.316554
ASH10-ECO122,2.0,1.86
ASH10-ECO142,4.0,1.512629
ASH10-H0-004,5.0,1.15
ASH10309907,1.0,12.19
ASH129-09-902,1.0,10.819496
ASH13009,1.0,3.88
ASH16000002,2.0,9.460856
ASH177123,3.0,3.17
ASH18,6.0,2.43
ASH20-00-001,4.0,2.510899
ASH20-00-008,2.0,4.1
ASH20-09-909,7.0,2.2
ASH20-09-910,12.0,2.36
ASH20-09-912,2.0,4.06
ASH20-09-929,7.0,2.83
ASH20-09-975,2.0,2.03
ASH21-CH-CH1,5.0,1.435259
ASH21-CH-CH2,2.0,7.61
ASH21-JE-JE4,4.0,1.47
ASH2948,2.0,20.231408
ASH30-00-001,2.0,6.3
ASH30-00-007,9.0,3.98
ASH30-02-224,2.0,3.51
ASH30-09-907,6.0,1.910082
ASH30-09-911,12.0,2.48
ASH30-09-988,8.0,2.82
ASH30-09-989,2.0,1.99
ASH30-09-995,5.0,3.636709
ASH30-09-997,12.0,2.538347
ASH30-K0-018,15.0,2.283387
ASH30-M0-002,1.0,4.94
ASH32290,1.0,14.41
ASH33000076,1.0,3.42
ASH3570,2.0,2.73
ASH37285,4.0,17.26
ASH38016,4.0,3.830955
ASH38176,2.0,14.57
ASH39120,4.0,16.230299
ASH40-09-913,1.0,8.37
ASH45-00-007,2.0,11.76
ASH45-00-009,2.0,3.81
ASH45-00-010,2.0,11.76
ASH45-05-530,1.0,11.54
ASH45-09-922,1.0,13.57
ASH4656528AB,4.0,11.09261
